time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
1621247412,65.4,175.0,21.3,15.987884,57.632313,2.7951028,1537.0,52.148823,5.0,590
1621334556,65.3,175.0,21.3,15.845753,57.729813,2.7955568,1536.0,52.15717,5.0,584
1621420572,65.2,175.0,21.2,15.90134,57.69168,2.7893462,1534.0,52.042976,5.0,597
1621511885,64.95,175.0,21.2,15.700806,57.829247,2.78522,1531.0,51.967106,5.0,597
1621593723,65.15,175.0,21.2,15.746548,57.797867,2.7923794,1534.0,52.098747,5.0,586
1621682357,65.0,175.0,21.2,15.824731,57.744236,2.7832394,1531.0,51.930687,5.0,605
1621771741,65.2,175.0,21.2,15.71361,57.820465,2.7956598,1534.0,52.159065,5.0,579
1621852772,65.3,175.0,21.3,15.710378,57.82268,2.8001163,1536.0,52.24101,5.0,571
1621939572,65.7,175.0,21.4,15.966626,57.646893,2.8088229,1542.0,52.4011,6.0,565
1622028468,66.25,175.0,21.6,16.367811,57.37168,2.8189533,1550.0,52.58737,6.0,562
1622117542,66.25,175.0,21.6,16.521774,57.266064,2.813692,1550.0,52.49063,6.0,577
1622210367,65.85,175.0,21.5,16.095482,57.5585,2.8109481,1544.0,52.440178,6.0,566
1622210389,65.85,175.0,21.5,16.095482,57.5585,2.8109481,1544.0,52.440178,6.0,566
1622284492,65.6,175.0,21.4,16.03243,57.601753,2.802262,1540.0,52.280464,6.0,579
1622376658,66.6,175.0,21.7,16.64936,57.17854,2.8243794,1555.0,52.687145,6.0,563
1622466103,65.95,175.0,21.5,16.308224,57.41256,2.808039,1545.0,52.386684,6.0,579
1622544854,66.8,175.0,21.8,16.741732,57.115173,2.8297954,1549.0,52.78673,6.0,549
1622636629,65.85,175.0,21.5,16.11583,57.54454,2.810257,1535.0,52.427467,6.0,560
1622725588,65.5,175.0,21.3,16.066984,57.57805,2.7967637,1530.0,52.179363,6.0,582
1622807500,65.1,175.0,21.2,15.852342,57.725292,2.786654,1524.0,51.99347,5.0,592
1622887417,65.85,175.0,21.5,16.188116,57.494953,2.8078017,1535.0,52.382324,6.0,567
1622986235,66.45,175.0,21.6,16.645708,57.181046,2.8180559,1544.0,52.57087,6.0,566
1623063375,66.45,175.0,21.6,16.502443,57.279324,2.822966,1544.0,52.66116,6.0,552
1623063380,66.55,175.0,21.7,null,null,null,null,null,null,null
1623151024,66.05,175.0,21.5,16.386187,57.359077,2.8097,1538.0,52.417225,6.0,571
1623238507,66.05,175.0,21.5,16.345007,57.387325,2.8111029,1538.0,52.443024,6.0,567
1623238512,66.15,175.0,21.6,null,null,null,null,null,null,null
1623327947,65.85,175.0,21.5,16.250074,57.45245,2.8056972,1535.0,52.343628,6.0,573
1623414440,65.3,175.0,21.3,15.991235,57.630013,2.7906566,1527.0,52.06707,6.0,590
1623500667,65.4,175.0,21.3,15.914795,57.68245,2.7975683,1528.0,52.194157,6.0,575
1623586367,65.25,175.0,21.3,15.982644,57.635906,2.788779,1526.0,52.032547,6.0,593
1623669326,65.35,175.0,21.3,16.051834,57.58844,2.7907803,1528.0,52.069344,6.0,592
1623755469,65.0,175.0,21.2,15.698885,57.830566,2.7874587,1522.0,52.008266,5.0,585
1623840607,65.25,175.0,21.3,15.753371,57.793186,2.7964954,1526.0,52.17443,6.0,571
1624020310,65.3,175.0,21.3,16.012062,57.615726,2.7899551,1527.0,52.054173,6.0,592
1624104225,65.5,175.0,21.3,15.776298,57.77746,2.8065844,1530.0,52.35994,6.0,554
1624275565,65.5,175.0,21.3,16.191565,57.492588,2.7925546,1530.0,52.10197,6.0,594
1624711952,65.4,175.0,21.3,15.93559,57.668186,2.7968667,1528.0,52.18126,6.0,577
1624793944,65.2,175.0,21.2,15.629868,57.87791,2.798476,1525.0,52.21085,6.0,563
1624793967,65.2,175.0,21.2,15.629868,57.87791,2.798476,1525.0,52.21085,6.0,563
