com.samsung.health.food_info,6233003,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
,,,,,"19 kcal, por 1 porção (15ml)",,fatsecret-2392753,15,144.0,0.0,1.7,2018-09-09 01:55:14.011,2018-09-09 01:55:14.011,,0.0,,,Maionese(Subway),,,,19.0,porção,,zjIwstRrv1,ml,,,com.sec.android.app.shealth,1.0,,9141fb3d-9827-4a43-9609-0c9e2f52a61b,1,
,,,,0.0,"83 kcal, por 2 1/2 fatias (40g)",,fatsecret-5516827,40,708.0,0.0,0.0,2018-09-13 10:46:40.623,2018-09-13 10:46:40.623,,15.8,,,Presunto Fatiado(Sadia),,,,83.0,porção,,zjIwstRrv1,g,0.0,0.0,com.sec.android.app.shealth,1.8,0.4848485,f1952dec-53da-479a-ab64-65741eefe190,1,
228.0,10.888889,2.6666667,0.0,66.0,"2592 kcal, por 1214g",,fatsecret-6023425,120,339.0,1.8,11.71,2023-09-03 00:12:39.230,2018-09-16 01:47:32.399,4.262,10.67,1.171,14.833333,Pizza de Frango com Catupiry,1.87,,3.5384614,256.0,fatia,,xoyixJvqZs,g,5.419,0.023,com.sec.android.app.shealth,26.94,0.46858168,b9ea2c60-bb18-4df3-b2b6-a2647e14e597,1,
78.0,6.0,2.0,,0.0,"14 kcal, por 100g",,fatsecret-6250,55,6.0,0.7,0.08,2023-10-04 23:12:05.933,2018-09-10 14:55:19.683,0.003,0.5,0.041,1.0,Alface,0.97,,1.0,8.0,"xícara, desfiada ou cortada",,xoyixJvqZs,g,0.01,,com.sec.android.app.shealth,1.63,6.875,c98cf982-261c-495b-8dfd-a3dc233412ae,1,
28.0,0.11111111,0.0,0.0,6.0,"541 kcal, por 100g",,fatsecret-1517,5,116.0,0.0,2.09,2023-09-06 12:52:54.392,2018-09-19 11:24:59.759,0.926,1.85,0.237,0.3888889,Bacon,0.0,,0.07692308,27.0,fatia fina (produto após cozinhado),,xoyixJvqZs,g,0.687,,com.sec.android.app.shealth,0.07,0.18518518,5fd8b90d-2e93-4e4c-9a76-a9058be3843d,1,
159.0,11.0,0.0,,43.0,"880 kcal, por 370g",,fatsecret-7063233,150,36.0,0.0,16.99,2018-09-09 20:39:11.050,2018-09-09 20:39:11.050,7.762,47.91,0.763,125.0,Picanha sem Gordura,0.0,,0.0,357.0,porção (150 g),,zjIwstRrv1,g,6.747,,com.sec.android.app.shealth,0.0,0.4200627,ba05bc97-1238-498a-a8cf-87c84242f3eb,1,
389.0,0.22222222,0.6666667,0.0,59.0,"143 kcal, por 100g",,fatsecret-36043,100,52.0,0.0,5.66,2023-10-03 16:25:23.799,2018-09-12 17:28:21.389,2.56,21.43,0.61,4.6666665,"Carne de Porco do Lombo (Inteiro, Magro)",0.0,,1.3076923,143.0,g,,xoyixJvqZs,g,1.95,,com.sec.android.app.shealth,0.0,0.69892144,af1ac178-841b-4207-8777-badea949cfdc,100,
0.0,,,,0.0,"88 kcal, por 1 copo (200ml)",,fatsecret-1261083,200,0.0,0.0,0.0,2020-12-27 15:43:44.827,2018-09-07 19:49:30.600,0.0,0.0,0.0,,Pepsi(Pepsi),,,,88.0,porção,,yfgkJHa6g4,ml,0.0,0.0,com.sec.android.app.shealth,22.0,,327ffe7b-ec49-4bf4-892d-7885053baba2,1,
268.0,0.6666667,0.6666667,0.0,60.0,"3674 kcal, por 2379g",,fatsecret-8836034,80,248.0,0.2,5.08,2023-10-01 18:31:00.218,2018-09-15 13:32:18.264,2.184,16.36,0.38,10.0,Hambúrguer Caseiro,0.18,,0.84615386,124.0,hambúrguer,,xoyixJvqZs,g,2.07,0.229,com.sec.android.app.shealth,1.93,0.6451613,04cb6e49-e93b-4174-a1b7-83f8cb9a82a8,1,
105.0,0.0,0.0,,0.0,"299 kcal, por 100g",,fatsecret-35962,14,2.0,0.5,0.06,2018-09-20 21:34:37.018,2018-09-20 21:34:37.018,0.007,0.43,0.005,1.0,Uvas-Passas (sem Sementes),8.29,,1.0,42.0,caixa em miniatura (14 g),,zjIwstRrv1,g,0.008,,com.sec.android.app.shealth,11.09,0.3346856,baed6dc0-39cc-4448-be35-26ddb0384cb9,1,
