com.samsung.shealth.activity.day_summary,6233003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
12694,7831247,,0,2017-10-27 13:34:17.131,2017-10-25 02:00:02.191,-1,673676,0,10473.054,557.8126,964645b8-976a-41be-99d5-13c295ace592.extra_data.json,n2OTyB17mi,275816,com.sec.android.app.shealth,7555431,21720000,964645b8-976a-41be-99d5-13c295ace592,1508889600000,
1354,851670,,0,2017-08-01 01:02:52.257,2017-07-31 03:00:01.813,-1,60000,0,1252.0599,70.46999,7cccd01f-106f-419b-90e7-ce03b244b4ac.extra_data.json,n2OTyB17mi,69315,com.sec.android.app.shealth,782355,36540000,7cccd01f-106f-419b-90e7-ce03b244b4ac,1501459200000,
9699,5606214,,0,2017-01-29 01:48:01.637,2017-01-28 02:00:29.426,-1,1674045,0,10209.773,546.6832,36aee689-b758-4e44-b69d-cf51a503629c.extra_data.json,n2OTyB17mi,287691,com.sec.android.app.shealth,5318523,27960000,36aee689-b758-4e44-b69d-cf51a503629c,1485561600000,
6502,4120392,,0,2016-06-23 00:41:04.754,2016-06-22 03:00:34.532,-1,180000,0,4299.745,208.37999,0df9df79-54b5-4ccb-91db-b6b1affb37db.extra_data.json,f1/7zwjou1,69261,com.sec.android.app.shealth,4051131,23400000,0df9df79-54b5-4ccb-91db-b6b1affb37db,1466553600000,
5235,3356222,,0,2016-08-18 00:52:56.143,2016-08-17 03:00:06.753,-1,240000,0,3503.0344,170.24998,e1da16bc-0dc0-4039-a3d5-a0fda8b8dfbb.extra_data.json,f1/7zwjou1,57989,com.sec.android.app.shealth,3298233,22680000,e1da16bc-0dc0-4039-a3d5-a0fda8b8dfbb,1471392000000,
9690,5754664,,0,2017-05-04 01:26:01.690,2017-05-03 03:00:00.882,-1,240000,0,8238.721,454.14993,b3d238e4-1692-44f7-8b78-c628ac67e22f.extra_data.json,n2OTyB17mi,414305,com.sec.android.app.shealth,5340359,21300000,b3d238e4-1692-44f7-8b78-c628ac67e22f,1493769600000,
4979,3143806,,0,2017-03-02 01:04:27.856,2017-03-01 03:00:01.474,-1,180000,0,4199.4907,220.54994,d8b2325f-ec9c-48e2-967e-ff56533967cb.extra_data.json,n2OTyB17mi,147739,com.sec.android.app.shealth,2996067,39360000,d8b2325f-ec9c-48e2-967e-ff56533967cb,1488326400000,
7211,4430120,,0,2017-05-23 02:07:26.669,2017-05-22 03:04:00.398,-1,240000,0,6279.45,341.09,23976d57-2ac0-458e-8658-ea7b1c323f87.extra_data.json,n2OTyB17mi,271769,com.sec.android.app.shealth,4158351,27840000,23976d57-2ac0-458e-8658-ea7b1c323f87,1495411200000,
3248,1901867,,0,2017-02-06 01:25:55.670,2017-02-05 02:00:01.258,-1,120000,0,3100.0708,157.56,da492ac0-25f9-4de3-b9e4-1355524b31fb.extra_data.json,n2OTyB17mi,210581,com.sec.android.app.shealth,1691286,38760000,da492ac0-25f9-4de3-b9e4-1355524b31fb,1486252800000,
3680,2386405,,0,2016-07-11 02:34:27.264,2016-07-10 03:00:35.544,-1,120000,0,2430.2932,122.02998,9c922d23-a500-4d18-b2e8-746fefb4999d.extra_data.json,f1/7zwjou1,62323,com.sec.android.app.shealth,2324082,38340000,9c922d23-a500-4d18-b2e8-746fefb4999d,1468108800000,
