com.samsung.health.food_intake,6233003,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2019-01-18 16:00:00.000,1.0,,2019-01-18 16:00:42.268,2019-01-18 16:00:42.268,100002,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,e9af23c0-b9c0-48f5-9cd0-40341b6e76a7,meal_auto_filled,
2018-09-21 16:00:00.000,4.0,,2018-09-22 12:47:19.929,2018-09-22 12:47:19.929,100002,Ovo de Codorna,120001,56.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,6ab13150-cb11-489e-bb78-6159c9b0bb05,6bc0aec0-f5c6-44f9-a009-983a6fe7a2da,
2018-09-19 22:00:00.000,,,2018-09-19 22:00:14.604,2018-09-19 22:00:14.604,100003,,,1091.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,871a9cc8-eeb9-4b8b-928f-c34d1cc35e9e,meal_auto_filled,
2018-09-30 17:00:00.000,,,2018-09-30 17:01:00.277,2018-09-30 17:01:00.277,100002,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,430540ce-ec67-44a5-88d1-c6cc9264eba7,meal_auto_filled,
2018-09-09 21:00:00.000,110.0,,2018-09-10 01:45:54.845,2018-09-10 01:45:54.845,100003,Alcatra Grelhada,120002,224.4,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,cd5f02ba-90f8-4f7d-a7e3-03f23dd95d65,a84e37ce-e432-4932-ba54-0b3be2a383ef,
2018-12-21 21:00:00.000,1.0,,2018-12-21 21:01:07.002,2018-12-21 21:01:07.002,100003,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,f5dbcc4e-4f6e-4cdb-b514-55e5307298d7,meal_auto_filled,
2018-11-01 12:00:00.000,1.0,,2018-11-01 12:00:29.231,2018-11-01 12:00:29.231,100001,,-1,1093.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,85ddf5d2-cc40-48a7-acba-bbc1d2b0e5f0,meal_auto_filled,
2018-09-16 21:00:00.000,75.0,,2018-09-17 01:55:17.484,2018-09-17 01:55:17.484,100003,Carne Moída(Swift),120002,153.75,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,b07d69c8-994e-4cc2-baf1-2d432876c093,a5a421c8-2289-4be8-abc0-49a96e34e89b,
2018-09-21 16:00:00.000,80.0,,2018-09-22 12:47:19.937,2018-09-22 12:47:19.937,100002,Coxa de Frango,120002,170.52632,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,8f13f945-18c9-41f6-9fd4-89abc41d8c30,b27d0b7d-8782-484f-be81-f82b0cb2b894,
2018-10-20 22:00:00.000,,,2018-10-20 22:00:07.942,2018-10-20 22:00:07.942,100003,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,c9a8e71a-e550-4294-b7a2-ea7bdccc3007,meal_auto_filled,
2018-12-31 21:00:00.000,1.0,,2018-12-31 21:01:11.226,2018-12-31 21:01:11.226,100003,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,163e9a62-89b4-4685-a552-4a2297de24cc,meal_auto_filled,
