com.samsung.shealth.exercise.weather,6233003,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2019-06-26 16:03:51.388,-30.07231,,ONO. 290,Limpo,0,1,TWC,2019-06-26 16:03:51.403,2019-06-26 16:03:51.403,1,-51.12031,12.0,49,UTC-0300,zjIwstRrv1,44679467-c10f-46f1-b283-3c593fb7981a,com.sec.android.app.shealth,km/h,0,10.0,1,6b55fa5e-1dd8-48da-b013-54ac89e661dd,
,0,2019-07-30 17:45:45.853,38.75024,,NNO. 340,Ensolarado,0,1,TWC,2019-07-30 17:45:45.858,2019-07-30 17:45:45.858,1,-9.204617,22.0,47,UTC+0100,zjIwstRrv1,b655ad0f-906b-4e00-9807-eadacb96a932,com.sec.android.app.shealth,km/h,0,31.0,1,eaf383a9-e166-4e86-bfc3-5365b08fd68a,
0.0,0,2017-02-15 21:28:20.964,-29.767336,,NE. 45.0,Nuvens e sol,0,0,AccuWeather,2017-02-15 21:28:20.967,2017-02-15 21:28:20.967,1,-50.021374,82.0,82,UTC-0200,n2OTyB17mi,7a6dfb5c-1471-4186-bf66-a015fb212cd3,com.sec.android.app.shealth,mi/h,0,6.8,4,73008e08-d1ec-4566-b290-1656e2e4c449,
0.0,0,2017-04-08 14:07:04.123,-30.050703,,E. 90.0,Céu Limpo,0,0,AccuWeather,2017-04-08 14:07:04.126,2017-04-08 14:07:04.126,1,-51.182682,78.0,70,UTC-0300,n2OTyB17mi,579a44aa-bfb7-4b67-8d1e-76968ae7ddc7,com.sec.android.app.shealth,mi/h,0,5.4,1,15f7e107-a3e9-4bc4-bb64-41acd2e7ac06,
,0,2017-08-22 15:54:42.852,-22.81386,,ENE. 68.0,Nublado,0,0,AccuWeather,2017-08-22 15:54:42.855,2017-08-22 15:54:42.855,1,-43.246975,70.0,64,UTC-0300,n2OTyB17mi,e034437c-1488-4653-8846-2e941c900d74,com.sec.android.app.shealth,mi/h,0,6.9,20,fdb75ef2-2d01-449d-9c8e-03c26b5b4752,
,0,2018-11-09 15:38:26.470,-30.040121,,ENE. 70,Limpo,0,1,TWC,2018-11-09 15:38:26.474,2018-11-09 15:38:26.474,1,-51.207695,28.0,51,UTC-0200,zjIwstRrv1,638fbcdc-38e2-4d6c-91f8-b00a5f6504f2,com.sec.android.app.shealth,km/h,0,10.0,1,90af4f97-de51-484c-9f73-3626067afc61,
,0,2018-07-18 12:26:32.989,-30.034071,,NE. 40,Limpo,0,1,TWC,2018-07-18 12:26:32.994,2018-07-18 12:26:32.994,1,-51.21082,19.0,98,UTC-0300,n2OTyB17mi,26857d85-fda4-464b-bff0-e6ff6d7ad61e,com.sec.android.app.shealth,km/h,0,2.0,1,d6e9d2b2-3834-493d-8108-8746e2132bbd,
,0,2018-12-07 20:06:35.471,-30.030672,,S. 170,Parcial. nublado,0,1,TWC,2018-12-07 20:06:35.473,2018-12-07 20:06:35.473,1,-51.21067,21.0,47,UTC-0200,zjIwstRrv1,1cad7aed-2366-4e17-9508-c7bd8bfc2773,com.sec.android.app.shealth,km/h,0,23.0,2,97837b4e-accf-4fc1-9170-9aeeb9f6ce1e,
,0,2018-01-15 14:39:19.196,-30.025167,,NO. 310,Parcial. nublado,0,1,TWC,2018-01-15 14:39:19.198,2018-01-15 14:39:19.198,1,-51.1622,29.0,67,UTC-0200,n2OTyB17mi,0f34ba1d-46f6-41b9-ade5-7222145e307b,com.sec.android.app.shealth,km/h,0,26.0,2,64e46365-b0cd-4dc2-829b-f1689a5bb78f,
,0,2018-11-15 18:56:14.191,-30.03068,,ONO. 290,Limpo,0,1,TWC,2018-11-15 18:56:14.193,2018-11-15 18:56:14.193,1,-51.21051,29.0,35,UTC-0200,zjIwstRrv1,5a515fe6-05e1-4e67-b042-928d06248f00,com.sec.android.app.shealth,km/h,0,16.0,1,332667df-108f-4473-ae60-c7e84843d40f,
,0,2018-09-03 15:49:23.940,-30.05047,,SSE. 160,Garoa fraca,0,1,TWC,2018-09-03 15:49:23.942,2018-09-03 15:49:23.942,1,-51.182487,17.0,96,UTC-0300,n2OTyB17mi,8711c943-3c0c-48a2-af15-5ef12b660585,com.sec.android.app.shealth,km/h,0,16.0,5,ce1a8bd3-12c0-4aa1-8384-1db6d96d8141,
,0,2019-08-12 14:56:46.086,-30.067186,,O. 270,Encoberto,0,1,TWC,2019-08-12 14:56:46.091,2019-08-12 14:56:46.091,1,-51.120743,18.0,86,UTC-0300,zjIwstRrv1,6ec85fd6-7929-4853-bbb0-cda01a7cd42f,com.sec.android.app.shealth,km/h,0,2.0,3,4254c16a-63d7-4009-8ca0-d644d2f0c5f6,
,0,2019-08-05 11:41:36.443,38.745495,,NNO. 330,Ensolarado,0,1,TWC,2019-08-05 11:41:36.467,2019-08-05 11:41:36.467,1,-9.19924,27.0,47,UTC+0100,zjIwstRrv1,6b32f873-b689-45b2-9fef-66446dd2757b,com.sec.android.app.shealth,km/h,0,18.0,1,396b3b9f-bd43-443a-808a-77ee8bf466af,
,0,2018-03-13 00:07:37.255,-29.763414,,E. 80,Limpo,0,1,TWC,2018-03-13 00:07:37.259,2018-03-13 00:07:37.259,1,-51.134583,19.0,67,UTC-0300,n2OTyB17mi,001d6f40-d616-42f4-9093-b836095a78eb,com.sec.android.app.shealth,km/h,0,8.0,18,dc340d81-976e-477a-9987-263885fbb146,
,0,2019-03-15 18:51:54.931,-30.033422,,S. 190,Encoberto,0,1,TWC,2019-03-15 18:51:54.935,2019-03-15 18:51:54.935,1,-51.21919,28.0,64,UTC-0300,zjIwstRrv1,81798025-0955-46fa-8c67-2f4399154f6d,com.sec.android.app.shealth,km/h,0,14.0,3,5c3b31af-823d-4bfa-89ad-36356a934ce8,
,0,2018-09-20 20:53:51.814,-29.763552,,E. 100,Encoberto,0,1,TWC,2018-09-20 20:53:51.818,2018-09-20 20:53:51.818,1,-51.134884,20.0,87,UTC-0300,zjIwstRrv1,df5bb6c9-bd29-4d1f-9d7b-366084c71ab1,com.sec.android.app.shealth,km/h,0,21.0,3,08e12c4d-5798-47aa-8457-3a823b78613b,
,,2022-12-09 22:05:12.431,-30.032482,,90.E,Limpo,,1,TWC,2022-12-09 22:07:53.759,2022-12-09 22:07:53.759,1,-51.194763,28.0,62,UTC-0300,2l9vD+Aay/,223d267d-d5e8-4837-aeff-fb69f41e035a,com.sec.android.app.shealth,km/h,,26.0,1,5ecf0d6c-cbde-4e27-820a-3dd88b2cbb5c,
,,2022-12-21 00:31:57.109,-30.048038,,110.ESE,Parcial. nublado,,1,TWC,2022-12-21 00:45:34.589,2022-12-21 00:45:34.589,1,-51.229248,22.0,78,UTC-0300,2l9vD+Aay/,c8eb6f96-2789-4ed6-8b16-a254f0afc2bd,com.sec.android.app.shealth,km/h,,29.0,19,586a6690-9865-4cf7-8a3e-cdfe3c248675,
,,2022-12-28 00:50:03.292,-29.764872,,50.NE,Pancadas de chuva na região,,1,TWC,2022-12-28 00:50:28.085,2022-12-28 00:50:28.085,1,-50.02123,21.0,89,UTC-0300,2l9vD+Aay/,6ba04800-17c3-4018-8602-115f88d9952e,com.sec.android.app.shealth,km/h,,14.0,3,de8e9e83-b33f-481a-a4e8-385ad767dc28,
,,2023-01-07 14:30:53.613,-29.76805,,70.ENE,Parcial. nublado,,1,TWC,2023-01-07 14:37:53.947,2023-01-07 14:37:53.947,1,-50.021442,23.0,70,UTC-0300,2l9vD+Aay/,f6ce73f7-a246-4506-a6bc-10fc0cd57ff0,com.sec.android.app.shealth,km/h,,21.0,2,3d54e118-c518-4fb8-8455-7cd992db8665,
,,2023-01-14 22:45:01.167,-29.77187,,160.SSE,Nublado,,1,TWC,2023-01-14 23:00:40.796,2023-01-14 23:00:40.796,1,-50.04034,23.0,81,UTC-0300,2l9vD+Aay/,956c2968-b83d-4c24-80ba-6e875249ec53,com.sec.android.app.shealth,km/h,,11.0,3,9b124d4d-f531-42dc-8d49-1b8d3350c7ed,
,,2023-01-26 22:37:53.659,-29.763794,,50.NE,Encoberto,,1,TWC,2023-01-26 22:53:55.623,2023-01-26 22:53:55.623,1,-50.01708,26.0,87,UTC-0300,2l9vD+Aay/,b8cde4ad-50e0-4fe5-9144-5e546c9b7a2a,com.sec.android.app.shealth,km/h,,26.0,3,37ce6a5b-9f8d-4ae4-b95a-ad66686ecb25,
,,2023-02-07 00:50:17.378,-30.03178,,100.E,Limpo,,1,TWC,2023-02-07 00:53:21.153,2023-02-07 00:53:21.153,1,-51.209286,25.0,63,UTC-0300,2l9vD+Aay/,a347f9d2-dc00-40db-9d83-8608ffb21ed2,com.sec.android.app.shealth,km/h,,18.0,18,888a65dc-212b-4bcc-aab8-a1722f1a2271,
,,2023-02-26 19:22:51.847,-29.76829,,40.NE,Parcial. nublado,,1,TWC,2023-02-26 20:17:29.759,2023-02-26 20:17:29.759,1,-50.020214,26.0,74,UTC-0300,2l9vD+Aay/,32d293b8-8bcb-4295-9454-5fa29026c8ab,com.sec.android.app.shealth,km/h,,13.0,2,8fcc3815-8d58-4e46-a7a3-aa1679e4087a,
