com.samsung.shealth.program.sleep_coaching.mission,6233003,2
answer,priority,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
null,,2023-01-27 19:28:00.268,2023-01-27 19:28:00.268,1,21,SP_MSN_14,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,017195a2-b8b1-45a2-9d7e-7637c6c72a4b,0,
null,,2023-01-27 19:28:00.268,2023-01-27 19:28:00.268,1,23,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,03b7fafb-376a-4756-8cd8-e9e24613c683,0,
null,,2023-01-27 19:28:00.269,2023-01-27 19:28:00.269,1,24,SP_MSN_13,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,e039910b-50ad-476a-bbbb-fbd7e0ddebb4,0,
null,,2023-01-27 19:28:00.270,2023-01-27 19:28:00.270,1,25,SP_MSN_18,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,2267d3fe-0ba3-43ca-9985-af024a67c403,0,
null,,2023-01-27 19:28:00.270,2023-01-27 19:28:00.270,1,27,SP_MSN_11,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,581d256a-bd7d-4d24-a806-5975655e1cd2,0,
null,,2023-01-29 11:42:17.893,2023-01-27 19:28:00.262,1,2,SP_MSN_03,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,84cf39e8-1e15-4981-9a41-7269492a9110,1,
null,,2023-01-27 19:28:00.263,2023-01-27 19:28:00.263,1,7,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,e2c01e23-713b-47bc-9e7d-fb0dda4f0e90,0,
null,,2023-01-27 19:28:00.263,2023-01-27 19:28:00.263,1,8,SP_MSN_12,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,6e175645-cd77-437c-9a02-f8fcd576cbb3,0,
null,,2023-01-27 19:28:00.264,2023-01-27 19:28:00.264,1,9,SP_MSN_14,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,3ab6ba9a-c3ed-4cc2-913e-580bda2c5078,0,
null,,2023-01-27 19:28:00.264,2023-01-27 19:28:00.264,1,11,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,02f91f15-e432-4f71-815e-79b44b0ef32d,0,
null,,2023-01-27 19:28:00.265,2023-01-27 19:28:00.265,1,12,SP_MSN_13,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,8af0b5f0-25dc-40a6-8207-0282e67b3411,0,
null,,2023-01-27 19:28:00.265,2023-01-27 19:28:00.265,1,13,SP_MSN_15,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,8836da9b-5ce3-4200-add1-9ffd6f23ba0e,0,
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,15,SP_MSN_04,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,99af33fc-dfff-419d-8115-f22b419814e7,0,
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,17,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,8783f590-874a-4685-b995-9f959cf41f1b,0,
