com.samsung.shealth.tracker.pedometer_day_summary,6233003,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
10922,f4fb98af-8d53-4f09-86da-f53987a1ccbe.binning_data.json,0,0,177,2016-03-23 19:35:21.945,com.sec.android.app.shealth,2016-03-23 19:35:21.945,,0.0,7317.4893,347.27,10745,VfS0qUERdZ,com.sec.android.app.shealth,0,f4fb98af-8d53-4f09-86da-f53987a1ccbe.achievement.json,f4fb98af-8d53-4f09-86da-f53987a1ccbe,1428537600000,
12467,1faf4beb-f83f-42b2-8999-6eba45e521c0.binning_data.json,7588764,0,178,2016-03-23 19:35:59.138,com.sec.android.app.shealth,2016-03-23 19:35:59.138,,1.9753883,8380.318,398.65997,12289,VfS0qUERdZ,com.sec.android.app.shealth,0,1faf4beb-f83f-42b2-8999-6eba45e521c0.achievement.json,1faf4beb-f83f-42b2-8999-6eba45e521c0,1440201600000,
9676,90e5a6e0-3cfa-4886-b108-d7a1d2eb3f45.binning_data.json,0,0,141,2016-03-23 19:35:17.007,com.sec.android.app.shealth,2016-03-23 19:35:17.007,,0.0,6476.7905,306.99005,9535,VfS0qUERdZ,com.sec.android.app.shealth,0,90e5a6e0-3cfa-4886-b108-d7a1d2eb3f45.achievement.json,90e5a6e0-3cfa-4886-b108-d7a1d2eb3f45,1427068800000,
6299,742f6f8b-08f3-4035-b52f-8c0252772449.binning_data.json,3768400,0,452,2016-03-23 19:36:40.692,com.sec.android.app.shealth,2016-03-23 19:36:40.692,,2.8033085,4302.956,210.59,5847,VfS0qUERdZ,com.sec.android.app.shealth,0,742f6f8b-08f3-4035-b52f-8c0252772449.achievement.json,742f6f8b-08f3-4035-b52f-8c0252772449,1447113600000,
5449,0752c763-a73d-498d-aa5b-a0a39691a6b5.binning_data.json,3481382,5000,80,2016-02-16 02:05:29.433,com.sec.android.app.shealth,2016-02-16 02:05:29.433,,1.9401405,3555.073,168.12999,5369,f1/7zwjou1,com.sec.android.app.shealth,0,0752c763-a73d-498d-aa5b-a0a39691a6b5.achievement.json,0752c763-a73d-498d-aa5b-a0a39691a6b5,1455494400000,
6947,d147b9e6-49c2-4a4c-8e25-9f7d55fe6813.binning_data.json,4123607,5000,415,2016-03-17 03:08:49.843,com.sec.android.app.shealth,2016-03-17 03:08:49.843,,3.764183,4762.8394,233.38998,6532,f1/7zwjou1,com.sec.android.app.shealth,0,d147b9e6-49c2-4a4c-8e25-9f7d55fe6813.achievement.json,d147b9e6-49c2-4a4c-8e25-9f7d55fe6813,1458086400000,
10108,2870a9db-ef98-4514-b8dc-cae223dd3e81.binning_data.json,6127597,0,120,2016-03-23 19:35:54.602,com.sec.android.app.shealth,2016-03-23 19:35:54.602,,5.1555815,6785.7534,317.59998,9988,VfS0qUERdZ,com.sec.android.app.shealth,0,2870a9db-ef98-4514-b8dc-cae223dd3e81.achievement.json,2870a9db-ef98-4514-b8dc-cae223dd3e81,1438905600000,
4907,33b268ac-7f57-4fd3-97b8-e444aa92a1a3.binning_data.json,0,0,92,2016-03-23 19:35:46.496,com.sec.android.app.shealth,2016-03-23 19:35:46.496,,0.0,3304.909,154.68,4815,VfS0qUERdZ,com.sec.android.app.shealth,0,33b268ac-7f57-4fd3-97b8-e444aa92a1a3.achievement.json,33b268ac-7f57-4fd3-97b8-e444aa92a1a3,1436313600000,
2475,af19604a-3e6b-48f8-bcf7-8c86ac93f894.binning_data.json,0,0,96,2016-03-23 19:34:57.220,com.sec.android.app.shealth,2016-03-23 19:34:57.220,,0.0,1629.087,80.409996,2379,VfS0qUERdZ,com.sec.android.app.shealth,0,af19604a-3e6b-48f8-bcf7-8c86ac93f894.achievement.json,af19604a-3e6b-48f8-bcf7-8c86ac93f894,1420588800000,
5170,640b1bdc-a86c-4f05-89e8-2cb7fa449023.binning_data.json,0,0,79,2016-03-23 19:35:04.455,com.sec.android.app.shealth,2016-03-23 19:35:04.455,,0.0,3635.4485,163.87,5091,VfS0qUERdZ,com.sec.android.app.shealth,0,640b1bdc-a86c-4f05-89e8-2cb7fa449023.achievement.json,640b1bdc-a86c-4f05-89e8-2cb7fa449023,1423180800000,
2256,bfbfa3fc-ece1-40e8-8de2-7704f37854c8.binning_data.json,0,0,37,2016-03-23 19:34:58.264,com.sec.android.app.shealth,2016-03-23 19:34:58.264,,0.0,1525.7316,70.079994,2219,VfS0qUERdZ,com.sec.android.app.shealth,0,bfbfa3fc-ece1-40e8-8de2-7704f37854c8.achievement.json,bfbfa3fc-ece1-40e8-8de2-7704f37854c8,1421107200000,
3718,7e356b50-1613-4756-a1fa-11aff79c9a73.binning_data.json,2406413,0,50,2016-03-23 19:36:39.451,com.sec.android.app.shealth,2016-03-23 19:36:39.451,,1.9659001,2415.6577,114.53999,3668,VfS0qUERdZ,com.sec.android.app.shealth,0,7e356b50-1613-4756-a1fa-11aff79c9a73.achievement.json,7e356b50-1613-4756-a1fa-11aff79c9a73,1446940800000,
4152,46ad6f61-b463-4793-baf6-474e8c8ba95c.binning_data.json,0,0,118,2016-03-23 19:35:33.384,com.sec.android.app.shealth,2016-03-23 19:35:33.384,,0.0,2835.8884,134.62999,4034,VfS0qUERdZ,com.sec.android.app.shealth,0,46ad6f61-b463-4793-baf6-474e8c8ba95c.achievement.json,46ad6f61-b463-4793-baf6-474e8c8ba95c,1432339200000,
2346,9309b6de-d98a-4edc-8771-eb4100ea1167.binning_data.json,0,0,58,2016-03-23 19:34:57.563,com.sec.android.app.shealth,2016-03-23 19:34:57.563,,0.0,1590.8893,74.76999,2288,VfS0qUERdZ,com.sec.android.app.shealth,0,9309b6de-d98a-4edc-8771-eb4100ea1167.achievement.json,9309b6de-d98a-4edc-8771-eb4100ea1167,1420761600000,
7176,75abf1c8-44cb-4651-a0cf-fd65ca56fb78.binning_data.json,4141783,0,180,2016-03-23 19:36:24.880,com.sec.android.app.shealth,2016-03-23 19:36:24.880,,5.3163786,4989.497,233.46999,6996,VfS0qUERdZ,com.sec.android.app.shealth,0,75abf1c8-44cb-4651-a0cf-fd65ca56fb78.achievement.json,75abf1c8-44cb-4651-a0cf-fd65ca56fb78,1444780800000,
4593,e0e81784-6f09-4a1a-b6e4-d4345ef020a1.binning_data.json,0,0,93,2016-03-23 19:35:09.318,com.sec.android.app.shealth,2016-03-23 19:35:09.318,,0.0,3032.2095,144.02998,4500,VfS0qUERdZ,com.sec.android.app.shealth,0,e0e81784-6f09-4a1a-b6e4-d4345ef020a1.achievement.json,e0e81784-6f09-4a1a-b6e4-d4345ef020a1,1424736000000,
