com.samsung.shealth.report,6233003,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Sao_Paulo,1653793200000,2022-06-05 16:49:16.313,2022-06-05 16:49:12.265,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,92cba035-b667-4534-a932-5cf393a02f2e,92cba035-b667-4534-a932-5cf393a02f2e.compressed_content.json,
America/Sao_Paulo,1579402800000,2020-01-26 16:42:35.325,2020-01-26 16:42:31.727,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,0fee9af5-cd59-4673-aa84-5a1d4ded5e4c,0fee9af5-cd59-4673-aa84-5a1d4ded5e4c.compressed_content.json,
America/Sao_Paulo,1657422000000,2022-07-19 16:41:55.452,2022-07-19 16:41:51.320,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,ee9c4965-c810-4137-9071-b81c253e8bef,ee9c4965-c810-4137-9071-b81c253e8bef.compressed_content.json,
America/Sao_Paulo,1583031600000,2020-03-08 16:42:00.573,2020-03-08 16:41:58.915,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,8a890ced-f5f7-4074-a251-4e3f47eae8e1,8a890ced-f5f7-4074-a251-4e3f47eae8e1.compressed_content.json,
America/Sao_Paulo,1662865200000,2022-09-21 16:41:55.402,2022-09-21 16:41:55.402,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,766167ed-41a1-4771-a5ab-bb1ef5b42240,766167ed-41a1-4771-a5ab-bb1ef5b42240.compressed_content.json,
America/Sao_Paulo,1669518000000,2022-12-08 16:41:56.876,2022-12-08 16:41:56.876,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,d3734329-662a-4f70-8516-4e090ccf9eeb,d3734329-662a-4f70-8516-4e090ccf9eeb.compressed_content.json,
America/Sao_Paulo,1586660400000,2020-04-19 16:41:43.438,2020-04-19 16:41:41.742,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,3a01ee52-4ba3-4f0e-a2b5-4db0f699017e,3a01ee52-4ba3-4f0e-a2b5-4db0f699017e.compressed_content.json,
America/Sao_Paulo,1674356400000,2023-02-01 16:41:53.845,2023-02-01 16:41:53.845,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,cca27f99-0281-4989-9093-0bf133da8d00,cca27f99-0281-4989-9093-0bf133da8d00.compressed_content.json,
America/Sao_Paulo,1590289200000,2020-05-31 16:41:51.757,2020-05-31 16:41:42.235,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,e1c95c4e-b366-49ce-8a05-816960ef799b,e1c95c4e-b366-49ce-8a05-816960ef799b.compressed_content.json,
America/Sao_Paulo,1593918000000,2020-07-14 16:42:44.575,2020-07-12 16:42:11.842,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,70e41f2f-7c83-40a9-9127-4b4f1a9ac110,70e41f2f-7c83-40a9-9127-4b4f1a9ac110.compressed_content.json,
