com.samsung.shealth.tracker.pedometer_event,6233003,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2022-03-25 00:01:25.000,2022-03-25 00:13:30.000,2022-03-25 00:13:30.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1128,2022-03-25 00:13:30.000,bd639de4-33e1-91c9-d099-59abf16e3567,
2022-10-18 15:08:43.000,2022-10-18 15:22:59.000,2022-10-18 15:22:59.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1025,2022-10-18 15:22:59.000,e73d254d-ccf1-6d3c-174b-9439baceaac6,
2019-12-29 20:39:47.423,2019-12-29 20:50:37.371,2019-12-29 20:49:50.115,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1009,2019-12-29 20:50:35.210,4cd2030a-1dd5-42eb-8d59-48e6d440b002,
2020-02-27 13:03:23.880,2020-02-27 13:03:34.901,2020-02-27 13:03:34.901,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,8,2020-02-27 13:03:33.919,175c105c-65f3-43dc-944d-294d18c861d4,
2021-08-06 18:54:22.000,2021-08-06 19:06:46.000,2021-08-06 19:06:46.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1005,2021-08-06 19:06:46.000,9c581542-a007-d16e-977c-ddf87b79d1ce,
2019-09-12 15:30:30.006,2019-09-12 15:31:41.951,2019-09-12 15:31:18.625,1,UTC-0300,zjIwstRrv1,com.sec.android.app.shealth,31,2019-09-12 15:31:38.864,0ec1fca9-a5fe-4fec-8f11-fa94548f0c8f,
2019-10-01 10:43:39.371,2019-10-01 11:05:12.185,2019-10-01 10:53:40.645,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,2120,2019-10-01 11:05:05.712,0d5867dd-da86-4ea1-856f-7fc0ceea96aa,
2019-08-30 00:36:33.033,2019-08-30 00:48:48.494,2019-08-30 00:46:47.404,1,UTC-0300,zjIwstRrv1,com.sec.android.app.shealth,1215,2019-08-30 00:48:33.116,aeb37083-cfb4-4f7c-889c-6630dd731993,
2019-11-18 14:50:12.890,2019-11-18 15:00:18.195,2019-11-18 15:00:18.098,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,835,2019-11-18 15:00:18.441,ae47172a-e0c1-4cec-8b28-b385993d2272,
2020-07-29 18:28:50.971,2020-07-29 18:43:12.440,2020-07-29 18:38:53.182,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1457,2020-07-29 18:43:10.559,b5d6988f-616c-4654-8d93-00902c174d1d,
2022-07-18 19:05:16.000,2022-07-18 19:31:55.000,2022-07-18 19:31:55.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,2570,2022-07-18 19:31:55.000,a6ac89fe-2ed3-eaba-6af8-22e31a417940,
2022-09-10 21:29:29.000,2022-09-10 22:10:38.000,2022-09-10 22:10:38.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,3915,2022-09-10 22:10:38.000,24457058-c589-e6fe-99bf-194b821f7da2,
2020-01-18 22:30:19.423,2020-01-18 22:41:39.213,2020-01-18 22:40:30.455,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,939,2020-01-18 22:41:29.819,e7c3aabe-7abf-42d5-bc66-6a9ee89fc852,
2022-07-21 20:55:52.000,2022-07-21 21:08:58.000,2022-07-21 21:08:58.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,997,2022-07-21 21:08:58.000,306cb352-6a54-72b7-8ba0-c825fe91ec6f,
2019-10-07 15:28:50.016,2019-10-07 15:41:05.079,2019-10-07 15:38:50.695,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1229,2019-10-07 15:41:00.199,217bf112-e026-4ec6-9354-97e4176067d1,
2020-02-23 20:17:04.702,2020-02-23 20:31:24.938,2020-02-23 20:27:05.104,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,1427,2020-02-23 20:31:17.734,8d5b51f8-6659-4cd4-8776-2e2a86c6a479,
2020-01-26 20:03:01.468,2020-01-26 20:16:30.322,2020-01-26 20:13:29.185,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1382,2020-01-26 20:16:28.761,171a9a76-06a5-497e-ae18-40dee4aaa2e5,
